Index,MMM.Close,AXP.Close,AAPL.Close,BA.Close,CAT.Close,CVX.Close,CSCO.Close,KO.Close,DIS.Close,DWDP.Close,XOM.Close,GS.Close,HD.Close,IBM.Close,INTC.Close,JNJ.Close,JPM.Close,MCD.Close,MRK.Close,MSFT.Close,NKE.Close,PFE.Close,PG.Close,TRV.Close,UTX.Close,UNH.Close,VZ.Close,V.Close,WMT.Close,WBA.Close,MMM_r,AXP_r,AAPL_r,BA_r,CAT_r,CVX_r,CSCO_r,KO_r,DIS_r,DWDP_r,XOM_r,GS_r,HD_r,IBM_r,INTC_r,JNJ_r,JPM_r,MCD_r,MRK_r,MSFT_r,NKE_r,PFE_r,PG_r,TRV_r,UTX_r,UNH_r,VZ_r,V_r,WMT_r,WBA_r
9/28/2017,209.550003,90.139999,153.279999,254.270004,125.230003,117.620003,33.349998,44.91,98.050003,69.059998,82.190002,235.470001,162.360001,145.660004,37.830002,129.470001,95.379997,157.490005,64.290001,73.870003,52.630001,35.599998,90.889999,122.800003,115.839996,196.100006,49.41,104.580002,78.949997,77.519997,0.000334138,0.007237141,-0.006178661,-0.003964268,0.005685749,0.001446429,-0.003890533,0.006030191,-0.012063555,0.003771874,0.009289909,0.003019827,0.008908763,0,0.007695434,-0.00216032,0.002099046,0.022084751,-0.004345793,0.00027085,-0.000759677,0.0042223,0.000220026,0.001711619,-0.01150132,0.00824399,-0.002021796,0.00661971,-0.004297327,-0.008094154
9/29/2017,209.899994,90.459999,154.119995,254.210007,124.709999,117.5,33.630001,45.009998,98.57,69.230003,81.980003,237.190002,163.559998,145.080002,38.080002,130.009995,95.510002,156.679993,64.029999,74.489998,51.849998,35.700001,90.980003,122.519997,116.080002,195.850006,49.490002,105.239998,78.139999,77.220001,0.00166881,0.003543747,0.00546518,-0.000235986,-0.004161037,-0.001020781,0.008360843,0.002224156,0.005289372,0.002458675,-0.002558313,0.007277995,0.007363785,-0.003989838,0.006586771,0.00416213,0.001362094,-0.005156532,-0.004052406,0.008358029,-0.014931422,0.002805135,0.000989762,-0.002282783,0.002069732,-0.001275673,0.001617837,0.006291089,-0.010312626,-0.003877425
10/2/2017,212.759995,90.540001,153.809998,255.990005,124.720001,117.43,33.75,44.799999,99.860001,70.419998,81.629997,240.649994,164.020004,146.660004,39.040001,131.220001,96.839996,156.960007,64.550003,74.610001,51.869999,36.07,91.769997,123.32,117.580002,197.440002,49.360001,105.440002,78.449997,76.599998,0.013533548,0.000884,-0.002013426,0.006977676,8.01989E-05,-0.000595922,0.003561862,-0.004676526,0.013002259,0.017042947,-0.004278547,0.014482055,0.002808513,0.010831682,0.024897525,0.009263979,0.013829116,0.001785576,0.008088456,0.001609699,0.000385673,0.010310778,0.008645679,0.006508346,0.012839344,0.00808566,-0.00263027,0.001898653,0.003959364,-0.008061453
10/3/2017,214.570007,91.43,154.479996,255.460007,125.510002,117.82,33.849998,45.189999,100.790001,70.360001,81.760002,241.619995,165.169998,146.779999,39.380001,132.100006,97.349998,156.860001,64.370003,74.260002,51.470001,36.139999,92.120003,123.699997,117.709999,198.630005,49.849998,105.589996,79.220001,76.790001,0.008471312,0.009781899,0.004346551,-0.002072532,0.00631422,0.003315625,0.002958523,0.008667684,0.009269939,-0.000852351,0.001591346,0.004022653,0.006986838,0.00081785,0.008671311,0.006683945,0.005252621,-0.000637346,-0.002792431,-0.004702084,-0.007741436,0.001938763,0.003806693,0.003076652,0.001104994,0.006009072,0.009878056,0.001421542,0.009767364,0.002477386
10/4/2017,216.520004,91.010002,153.479996,255.759995,126.739998,117.580002,33.439999,45.5,100.550003,70.449997,81.790001,240.309998,165.289993,146.479996,39.34,132.889999,96.360001,157.210007,64.599998,74.690002,52.080002,35.959999,92.419998,123.900002,117.629997,200.479996,49.900002,105.309998,79.089996,75.830002,0.009046882,-0.00460424,-0.006494373,0.001173616,0.009752276,-0.002039066,-0.012186182,0.006836525,-0.002384008,0.001278262,0.000366848,-0.005436475,0.00072623,-0.002045987,-0.001016286,0.005962454,-0.010221523,0.002228842,0.003566647,0.005773765,0.011781903,-0.004993076,0.003251276,0.00161555,-0.000679884,0.009270648,0.001002587,-0.00265527,-0.001642411,-0.012580417
10/5/2017,216.369995,91.160004,155.389999,258.890015,126.400002,118.580002,33.59,45.52,100.110001,70.970001,82.019997,246.059998,166.119995,146.720001,39.529999,133.190002,97.089996,158.800003,64.599998,75.970001,52.18,36,92.029999,124.440002,118.169998,197.899994,49.77,106.239998,79.410004,76.949997,-0.000693058,0.001646836,0.01236784,0.012163834,-0.002686231,0.008468885,0.004475645,0.000439464,-0.004385555,0.007354071,0.002808084,0.023645652,0.005008924,0.001637142,0.004818039,0.002254984,0.007547154,0.010063032,0,0.016992298,0.001918243,0.001111757,-0.004228784,0.004348883,0.004580169,-0.012952649,-0.00260865,0.008792305,0.004037961,0.014661802
10/6/2017,216.520004,91.550003,155.300003,258.579987,126.93,117.029999,33.75,45.490002,100.07,71.220001,81.709999,246.020004,165.850006,146.479996,39.630001,133.220001,96.919998,159.600006,64.550003,76,52.419998,36.049999,92.330002,125.07,118.230003,198.059998,48.810001,106.730003,79,73.199997,0.000693058,0.004269056,-0.00057933,-0.001198245,0.004184256,-0.013157552,0.004752014,-0.000659224,-0.00039965,0.003516425,-0.003786702,-0.000162551,-0.001626587,-0.001637142,0.00252658,0.000225209,-0.001752467,0.005025155,-0.000774216,0.000394802,0.00458888,0.001387898,0.003254537,0.005049892,0.000507657,0.000808183,-0.019477162,0.004601642,-0.005176503,-0.049960441
10/9/2017,216.679993,91.690002,155.839996,258.390015,126.879997,117.709999,33.759998,45.41,99.57,71.68,82.029999,242.800003,165.710007,147.389999,39.860001,133.449997,96.410004,160.119995,64.330002,76.290001,51.52,36.139999,92.120003,124.949997,118.629997,196.300003,49.049999,107.010002,80.529999,70.870003,0.000738638,0.00152804,0.003471065,-0.000734944,-0.000394019,0.00579366,0.000296193,-0.00176022,-0.005009027,0.006438077,0.003908641,-0.013174778,-0.000844487,0.006193255,0.005786907,0.001724949,-0.005275903,0.00325278,-0.003414047,0.003808541,-0.017318078,0.002493422,-0.00227703,-0.000959947,0.003377475,-0.008925888,0.004904935,0.002619998,0.019181921,-0.032348125
10/10/2017,216.75,91.889999,155.899994,260.929993,128.190002,118.800003,33.549999,45.869999,99.580002,71.57,82.260002,242.600006,165.160004,148.5,39.650002,133.899994,97.129997,160.580002,64.459999,76.290001,51.529999,36.400002,91.620003,125.940002,118.120003,194.679993,49.139999,107.309998,84.129997,69.849998,0.000323037,0.002178855,0.000384923,0.009782016,0.01027182,0.009217468,-0.006239777,0.010078942,0.000100447,-0.001535777,0.002799965,-0.00082405,-0.00332459,0.00750283,-0.005282341,0.003366355,0.007440284,0.00286877,0.002018744,0,0.000194061,0.007168572,-0.005442486,0.007891986,-0.004308298,-0.008286968,0.001833181,0.002799517,0.043733413,-0.014497198
10/11/2017,216.509995,91.959999,156.550003,261.440002,128.600006,119.330002,33.59,46.099998,98.550003,71.620003,82.599998,242.399994,165.25,147.619995,39.299999,136.649994,96.839996,163.149994,63.779999,76.419998,51.029999,36.450001,91.459999,125.610001,117.75,195.259995,48.860001,108.440002,85.730003,68.919998,-0.001107903,0.00076149,0.004160729,0.001952674,0.003193305,0.004451349,0.00119157,0.00500162,-0.010397297,0.000698415,0.004124669,-0.000824792,0.000544753,-0.005943588,-0.008866505,0.020329661,-0.002990166,0.015877713,-0.010605215,0.001702535,-0.009750467,0.001372656,-0.001747914,-0.002623742,-0.003137349,0.002974829,-0.00571426,0.01047522,0.018839672,-0.013403674
